Date,Score,Reviews
"Mar 28, 2024",POSITIVE,"Great movie just everything the voice actors, the animation, highly recommend"
"Mar 27, 2024",POSITIVE,"Epic animation, epic music, epic story, and epic comedy! If you haven't seen the movie yet, THEN WHAT ARE YOU WAITING FOR? GO SEE IT NOW!!!"
"Mar 27, 2024",POSITIVE,"A hero fallen from grace, going through a midlife crisis as he realizes he's aging and death (the wolf) is getting closer and closer. The Shrek fairy tail universe is expanded upon, introducing a whole plethora of new fun characters, subplots to keep you invested, and excellent animation and voice acting."
"Mar 26, 2024",POSITIVE,"This movie is definitely one of the best DreamWorks films. The cinematography, animation, voice acting and humour was just all fantastic. This might be the next best film from DreamWorks since How to Train Your Dragon."
"Mar 26, 2024",POSITIVE,"vivo por ese final, asombroso"
"Mar 26, 2024",POSITIVE,Fun movie. Whole family loved it. Little taco dog was funny and cute.
"Mar 25, 2024",POSITIVE,"Show this to adults and kids, animation is a medium, so is this movie. Something for everyone to enjoy here"
"Mar 25, 2024",POSITIVE,woooooooooooooooooooooo
"Mar 23, 2024",POSITIVE,"This movie is multidimensional and goes beyond what the trailer shows. An exceeding of expectation no doubt, and definitely not just for kids!"
"Mar 23, 2024",POSITIVE,"Perfect movie, a complete animated movie in animation, plot, characters and humor"
"Mar 21, 2024",POSITIVE,It's long time ago that I've seen such a great movie. The animation looks amazing and clearly took some inspiration from into the Spider verse. I can listen hours to the beautiful music. The voice cast is great and I better characters are almost not possible. The storyline is amazing and is focusing on really dark subjects you usually don't see in animated movies. But it still has laughs and cute moments so this is still one of the best movies I've ever seen.
"Mar 21, 2024",POSITIVE,"This movie is a Chad....🗿🍷
DreamWorks>>>>> Disney"
"Mar 21, 2024",POSITIVE,"It's rare to see a sequel outshine everything else that's in theaters.  The concept that Puss was on his last life, and tried to give up his adventures, only to be brought back by friends for one last adventure, was incredibly well done.  The new characters were well written, thought out, and voiced over.  Although Puss is brought somewhat low by his predicament, he's never made to look weak, and his many strengths still shine throughout the film.  The new villains added an amazing contrast to the entire movie, again, written in a compelling way with really well done voice actors.  The movie occasionally switches to a different type of 'painted' animation for story telling.  This was well executed and not overdone.  All around, this was well worth the theater tickets."
"Mar 20, 2024",POSITIVE,All right Nah! Amazing!
"Mar 19, 2024",POSITIVE,What an amazing peace of art !
"Mar 17, 2024",POSITIVE,"really good, i love the story and the animation"
"Mar 17, 2024",POSITIVE,One of my absolute favorites!!
"Mar 16, 2024",POSITIVE,"Explores quite an unsaturated area in movie design and makes the idea of mortality extremely approachable to the younger audience through many funny scenes, which further dramatize the climax of the movie. A huge visual overhaul compared to the movie's predecessor"
"Mar 16, 2024",POSITIVE,"Amazing movie, like a breath of fresh air!"
"Mar 14, 2024",POSITIVE,this movie is amasing to whatch as a family on a friday and its a masterpiece. and this movie is good and all
"Mar 13, 2024",POSITIVE,"Great Movie! 10 times better than the first movie. this movie is about Puss trying to find a star that will let him wish for all of his 9 lives back. Near the end of the movie puss starts to value the last life he has left. The villains of the movie are amazing. 
10/10"
"Mar 12, 2024",POSITIVE,"Suprisingly the great sequel, great plot, and the one of the best Villain"
"Mar 11, 2024",NEUTRAL,"It's pretty good and I would recommend it but it's really annoying that Hollywood consistently use the Old cliché of cockney aka British working class accent for ""crude"" antagonists, too much class snobbery which is not healthy for a young audience."
"Mar 9, 2024",POSITIVE,Best Dreamworks movie i have ever seen. Both in terms of story and animation.
"Mar 9, 2024",POSITIVE,"I don't know what I was expecting, but it wasn't this. I was completely blown away by this film. Finally, something critics and audiences agreed on!"
"Mar 7, 2024",POSITIVE,This movie is so good and for no reason
"Mar 7, 2024",POSITIVE,"Excelente, maravilhoso, espetáculo."
"Mar 6, 2024",POSITIVE,"Pretty good Dreamworks movie, not too many complaints"
"Mar 4, 2024",POSITIVE,"the animation was choppy, which i like, and the plot was also nice.
overall, the movie was good!"
"Mar 2, 2024",POSITIVE,"Puss in Boots: The Last Wish is a great and enjoyable Movie. The story was great, the villains were good, it's a great movie for the Shrek Franchise and good to see that Shrek was in the movie. It's a great sequel and one of my favorites, I can't wait for Shrek 5"
"Mar 2, 2024",POSITIVE,PUSS IN BOOTS IS AMAZING! I watched this movie with my kids in January 2023 and oh boy was this a complete banger. The movie is really intresting about how puss is on his last life and needs to go to the wishing star and make his wish to get back his nine life's back (since he's only on one more life left). And lets not forget about the best dreamworks villlain of all time DEATH. Death is the best dreamworks villain its literally no competition. But jokes aside all the characters are really fun to watch not like the last puss in boots movie. And the animation is splendid aswell its just really good. But yeah this is a really attractive movie. And I know I was really late on reviewing it I just needed more time to think about what's good.
"Feb 26, 2024",POSITIVE,"This movie is great for everyone even grandma even tho she is dead, this movie is high quality animations and real models the voice actors are better and the story is amazing, and reason why i wouldn't give a 5 star because not all movies are perfect"
"Feb 23, 2024",POSITIVE,My favorite Dreamworks movie/sequel and my 2nd favorite movie ever.
"Feb 22, 2024",POSITIVE,God I have no words for this masterpiece!!
"Feb 22, 2024",POSITIVE,One of the best animated movies in recent memory. It harkens back to Pixar's golden days. Absolutely recommend for any and all ages with its slick animation for kids and story tackling mature themes for adults.
"Feb 20, 2024",POSITIVE,Tuve la oportunidad de verla después de que salió y que todo internet la pusiera en tik tok en Facebook en donde sea pero está película o mejor dicho secuela es algo en donde Dreamworks acertó con el gato con botas al hacer algo divertido y entretenido pasa la Audiencia no solo la animación es hermosa si no cada detalle y personajes introducidos son algo especiales en cierto modo
"Feb 19, 2024",POSITIVE,Rarity these days to see movie that kids and adults can both enjoy. This shrek spinoff should be the blueprint for other studios for how to make smart animated movies.
"Feb 18, 2024",NEUTRAL,I really enjoyed the movie and watching this made me even more excited for what's to come from Dream Works! It's entertaining and a fun watch.
"Feb 13, 2024",POSITIVE,"A Masterpiece, I don't need to say any more"
"Feb 10, 2024",POSITIVE,"I think it could've easily been a 4.5 or a 5 if it didn't spoonfeed a lot of the morals at the end. Like the message was very clear but they chose to make the characters spoonfeed you the moral making it less impactful. Amazing movie regardless, the humor and the story was nice. I think my favorite part are the scenes where Puss is afraid of Death. These moments truly made the movie special."
"Feb 9, 2024",POSITIVE,"The writing in this movie is outstanding, the cinematographic techniques they used was so involving and well done that I felt impressed, the characters, all of them with a great story and reasoning behind their actions, marvelous, the best animation movie I've seen this past years."
"Feb 8, 2024",POSITIVE,"This movie is absolutely spectacular.  The storytelling, the voices, the incredible little bits of detail we see as we watch it beyond our first time, it's all just spectacular.  And Jack Horner was a huge breath of fresh air for just being a purely evil villain with no sympathetic backstory or anything.  But I think Perrito has to be my favorite character.  He's absentminded, but not dumb.  Talkative, but not annoying.  And he's the sweetest soul you could ever come across.  I can not praise this movie enough for any category."
"Feb 6, 2024",POSITIVE,Como alguém não consegue gostar desse filme?
"Feb 4, 2024",POSITIVE,really good best movie dreamworks ever made watch it
"Feb 4, 2024",POSITIVE,"This movie is awesome! Fresh animation, good jokes, loveable characters and menacing villains!"
"Feb 4, 2024",POSITIVE,"Masterpiece. One of the best movies I've ever watched. The plot, the animation, the characters, the jokes. Everything is perfect. The story has such great characters and I love how not all of them are redeemable. It has a variety of villains, each with their own personality. Some pure villains, and some not. The plot is amazing and the character development is perfect. Watch this movie."
"Feb 3, 2024",POSITIVE,"Animation that in its narrative we have nothing new, but it is so well done that laughing, crying, getting excited, moved, afraid, reflecting and vibrating are natural reactions when watching it. And if it is ""simplistic"" in its story, the Photography is SPECTACULAR(!), being a real eye candy! A sequel to the 2011 film that surpasses it and is worthy of an Oscar, a feat that only Puss in Boots can achieve. your last wish could be fulfilled. Miauuu!"
"Feb 3, 2024",POSITIVE,"Plot-wise, I don't think any movies will ever touch the early Pixar movies again...toy story, incredibles, monsters inc., I don't think it's possible. But this was one of the best kid movies I've seen in a long time, very entertaining."
"Jan 25, 2024",POSITIVE,The movie has explaining that Puss in Boots is awesome movie that similar sequel to Spider-Verse.
"Jan 23, 2024",POSITIVE,One of the best films made by Dream works. I had a lot of fun watching it.
"Jan 12, 2024",POSITIVE,such a beautiful movie every scene was created with the best writer in the world
"Jan 9, 2024",POSITIVE,"Everyone was saying how surprisingly good this movie was. I believed them only to an extent as I am someone who finds the first Puss in Boots movie underrated. But then, I finally saw this movie and was utterly flawed. I was desperately trying to find a flaw in this movie but I just couldn't. 

So weird to think that a Puss in Boots movie might just be my favourite movie of this decade so far."
"Jan 9, 2024",POSITIVE,Very silly and fun. The dog character was the best comic relief character I've seen in a very long time.
"Jan 9, 2024",POSITIVE,Puss in boots gets a beard. Thats enough to get you to watch it
"Jan 8, 2024",POSITIVE,"Full of excitement, humor, and heart. What a great story with charming characters! Excellent voice acting and singing."
"Jan 8, 2024",POSITIVE,"Great movie with an interesting lovable villain.
Perrito is so cute and innocent throughout the movie, I love it. Kitty and Puss's love-hate relationship was also fun to sit through as well."
"Jan 7, 2024",POSITIVE,"Spectacular, hilarious, and heartfelt to boot (pun intended), Puss in Boots: The Last Wish proves that there's still plenty of lives in the Shrek franchise."
"Jan 7, 2024",NEUTRAL,"Much better movie than that horrible egg that was the 1st. Very nice script that entertains all audiences and very good quality graphics, Kung Fu Panda style. And there is an interesting open ending."
"Jan 6, 2024",POSITIVE,"Best sequel ever in any dreamworks movie, they really out did themselves!!!!"
"Jan 6, 2024",POSITIVE,"It was the best movie with the most awesome story and exceptional character developement
The bad remains the best and most horrifying villain i have ever see"
"Jan 6, 2024",POSITIVE,Animation and storyline are amazing
"Jan 6, 2024",POSITIVE,I previously said the the 1st Puss in Boots need Shrek or Donkey to make it worth wild.  There just wasn't anything there to grab onto.  This film however was amazing and it stood all on its own.  All the characters were great and Funny.  I highly recommend.
"Jan 5, 2024",POSITIVE,"Well designed and animated. This Puss in Boots sequel is emotional, wholesome and terrifying. But what convinces me of the film's high quality are the depth of rhe characters and their conflicts."
"Jan 4, 2024",POSITIVE,"I didint expected this movie to be soo goodd, loved perrito"
"Jan 4, 2024",POSITIVE,"An instant classic, I've seen this movie 6 times in the year since it's been out. Genuinely one of my new favorite animated movies, Everything is so beautifully animated and every character is so awesome… and the message… holy cow it's so powerful. AMAZING movie."
"Jan 4, 2024",POSITIVE,"An actually really good movie, 93-95%"
"Jan 4, 2024",POSITIVE,Best Shrek movie imo
"Jan 4, 2024",POSITIVE,"Perfection. This movie is so enjoyable, the animation is incredible, everything. The plot is well constructed, as well as other characteristics such as characters, writing, etc. A must see if you like Dreamworks movies or overall animated movies!"
"Jan 4, 2024",POSITIVE,"An animated MASTERPIECE!  One of the best animated films to come out of Dreamworks.  Animators should study this this one.  Everything about it was jaw droppingly well executed from the writing to the characters to the animation itself.  And this possibly has the greatest villain of all time seen in any movie, live action or animated."
"Jan 2, 2024",POSITIVE,Uma das melhores animações!!
"Jan 1, 2024",POSITIVE,i love this movie so mush
"Dec 30, 2023",POSITIVE,"Beautiful movie, beautiful animation, such a scary antagonist in an animated film I love it"
"Dec 29, 2023",POSITIVE,"I want to say it's not as good as people say it is, but thinking about it there are no flaws! The music, the villains, the scenery, 👌"
"Dec 28, 2023",POSITIVE,"This movie has a amazing plot, and amazing animation. I love it so much"
"Dec 28, 2023",POSITIVE,"A very good sequel, as usual with DreamWorks. Both its archetypal villain and its main antagonist are excellent and the development of Antonio Banderas' character (puss in boots) was very good. I would watch it over and over again."
"Dec 28, 2023",POSITIVE,"I loved the movie, from the setting to the characters everything was perfect. It is a must watch movie and my best movie of the year so far."
"Dec 27, 2023",POSITIVE,Easily one of the best Disney movies
"Dec 26, 2023",POSITIVE,"Arguably, the most compelling and heartfelt animated movie packed with a great and jaw-dropping villain."
"Dec 26, 2023",POSITIVE,Undeniably one of the greatest kids movies ever made
"Dec 26, 2023",POSITIVE,"Thos movie is just heart warming wirh beloved characters that do not disappoint.  The story is sweet, with a Gillian that is despicable.  Definitely must watch."
"Dec 24, 2023",POSITIVE,i think my favourite movie of all time
"Dec 24, 2023",POSITIVE,"Puss in Boots: the Last Wish offers some great cameos from very recognizable faces and some of DreamWorks' best ever villains, it is one of the best animated films in DreamWorks canon.

9/10"
"Dec 22, 2023",POSITIVE,"A movie with so much passion and soul that isn't afraid to hit the feels in all the right ways. It's excellent themes along with it's fun and lovable cast, be it good or evil or everything in between, you'll find someone to enjoy throughout the movie. Quirky and charmo, yet deep and emotional, this movie might be a rollercoaster for you. Truly a masterpiece and an easy top 3 in the Shrek franchise. I'll always consider this a classic and a must watch if you haven't."
"Dec 21, 2023",POSITIVE,this movie takes the cake i love it so much with all character developments with puss try to get his wish but in the end he chose to keep his last life and make new adventures I love the giant fight that was thrilling to see
"Dec 21, 2023",POSITIVE,It's was (in my opinion) the best movie of both 2022 and 2023.
"Dec 19, 2023",POSITIVE,The movie is iconic from the casting and the animation and of course you can't forget the humor
"Dec 18, 2023",POSITIVE,"they killed it with this one, legit how is it so good—"
"Dec 18, 2023",POSITIVE,Puss in boot is really my greatest fearless hero.
"Dec 17, 2023",POSITIVE,"The movie's incredible elements of surprising characterization, colors, and writing was an outstanding piece of art. It provides incredible character quality and quantity, the life lesson it gives, and unique development of each character, especially the protagonist. 

With this, this an amazing and successful film made by Dreamworks. I look forward to the many films up to plan like Puss in Boots: The Last Wish"
"Dec 17, 2023",POSITIVE,Death is terrifying tbh
"Dec 17, 2023",POSITIVE,"This movie is probably one of the best DreamWorks production movies to come to light, and possibly the best of them all. The animation is cartoonishly amazing, with inspiration from the Spider-Verse Series. The Humor is amazing, like one of the subversion roots of Shrek, one of the things the Shrek Franchise will do right. Overall, a 9.7/10. Action scenes, Characters, Humor, folktale elements, and The Villains,  were absolutely enjoyable, and I don't have that much complaints about this movie. And even then, the flaws are snuffed out with more enjoyable scenes."
"Dec 17, 2023",POSITIVE,"This movie is awesome. It has great sword fights, great characters, a great story, but most of all, a great villain. It's debatable on whether the villain is Goldilox for lying, Big  Jack Horner for selfishness, or Death for scaring Puss to death. Literally. But, the only one to get punished was Big Jack, so a lot of people think it's him. But I disagree. I think Death is the villain because he is awesome! Just like the movie. There are some corny bits, which is why I'm giving it only four stars. Some senes I didn't approve of, like the posey scene, or the river scene. I really don't think it's romantic to give someone a haircut. I mean seriously?! Couldn't DreamWorks come up with something a bit more romantic?! But, other than those two scenes, the movie is pretty good, so if you haven't watched it, than you should."
"Dec 16, 2023",POSITIVE,Loved it.. tied with Sherk part 1 in the sherk universe... awesome animation and surprisingly great storyline. Loooooved it🥰
"Dec 9, 2023",POSITIVE,"Well, This Was An Entertaining Sequel. I Went To See This With My Brother, &amp His Friends At Cinemark. It Was Funny &amp Badass. The Characters Are Cool, Cute, &amp Funny, Especially Peritto. The Villains Are Amazing. This Is Another Ultimate Example Of How To Make A Sequel Good. This Movie Is Definitely Fabulous From Start-Finish. I'm Waiting For A 3-Quel. I Need To Rewatch The 1st To See Which Is Better. Well, That's Pretty Much My Salute. Time To Rate It.

RATING: Fabulous Movie (100/100). If Looking For An Advice &amp You Wanna See A Fabulous Animated Sequel, I Recommend Watch This Movie."
"Dec 6, 2023",POSITIVE,"Great villians, Great character development, and loved the growth you get see in the Protagonist.  Who better to describe this movie than Puss himself: ""He was known across the land by many names. The Stabby Tabby. El Macho Gato. The Leche Whisperer. To some, an outlaw. To more, a hero. To all, a legend. I was right. Words were not enough""

The three bears made me laugh, and brought back that feeling I had back in the original Shrek and Shrek 2.  Playing on words and their whole story."
"Dec 6, 2023",NEUTRAL,"I watch the first one and was disappointed with it so much that I delay watching this sequel. Well to my delight this is what I expected the first one to be like, it has great plot, characters and modern animations. I hope that the next installment of this franchise whether from the main or side one such as this continues on this formula as its great!."
"Dec 5, 2023",POSITIVE,"I don't understand why wasn't this nominated for Best Picture. It is an excellent movie not only being serious, but also fun and full of suspense."
"Dec 2, 2023",POSITIVE,"Puss in boots: the last wish is awesome! The style gives you a sort of spiderman into the spiderverse vibe, with a comic book sort of mix of 2d and 3d and pretty colors and scenery! It was really funny, detailed, and at some parts a little scary, and better than the first one. This movie goes hard and you should watch it now"
"Nov 30, 2023",POSITIVE,Yes!!! Animation is Amazing! Story is Brilliant! Best DreamWorks film to be released in ages!
"Nov 26, 2023",NEUTRAL,"The overall plot is not something to be dazzled by. It's the characters that make it extraordinary. Once again, cutting down on the whole parody aspect but scaling up on maliciousness and a much darker tone."
"Nov 26, 2023",NEGATIVE,"Tbh, I liked the first one way more. Ofc was it important for dreamworks to make the movie friendly for kids but it was too childish for the movie. The first one was also rlly cool for adults as well. Also the animations are rlly weird compared to the first movie."
"Nov 25, 2023",POSITIVE,"Honest shocked at how good it was, after Shrek 4 I wasn't really expecting much...
I was blown away at the quality of the animation, the story and the character development.

I've re-watched it several times, just brilliant."
"Nov 25, 2023",POSITIVE,"This movie is so good I don't even know what to say.Oh yeah, death was the most epic character in the entire movie, despite his super low screen time."
"Nov 24, 2023",POSITIVE,"A fun family movie. The animation is very good. It is not only for kids, Adults can also watch this movie. Go and watch the movie!"
"Nov 23, 2023",POSITIVE,Amazing Story. I must see for every age
"Nov 22, 2023",POSITIVE,"Clever, well thought out characters, and compelling story."
"Nov 19, 2023",POSITIVE,"I could go on for hours about this film. The soundtrack, the fresh writing, the boundaries broken, the stylistic choices, the tasteful handling of anxiety…this movie is perhaps the best animated film I've ever seen. Just watch it!!!"
"Nov 19, 2023",POSITIVE,"I think the plot has served its purpose. While the animation itself is great, its handling of the topic of death may not be appropriate for many audiences."
"Nov 19, 2023",POSITIVE,"This movie was actually pretty good. I wasn't really too sure of what it was when I went to see it with my little brother, but it was solid. It has some awesome animation and action, and the villain is cool."
"Nov 18, 2023",POSITIVE,"Such an unexpected surprise. I didn't mean to see this but I am so glad I did. Amazing characters, deep meaningful themes, and some of the best villains I have seen in years. All of this combined with fun animation to produce one of my favorite animated movies of all time."
"Nov 18, 2023",POSITIVE,"Outstanding, the story, visuals and meaning of the story is awesome."
"Nov 18, 2023",POSITIVE,An amazing kids action packed movie. A must watch could watch for hours. The movie starts with an amazing introduction and an energetic start to finish. This movie does not have any boring parts just Turley amazing.
"Nov 17, 2023",POSITIVE,It is pretty much a perfect movie that can be enjoyed by kids and adults. There is a wolf character who is actually really dark and badass. But the main villan big jack Horner really holds the movie back from 5 stars.
"Nov 16, 2023",POSITIVE,"Incredible animation, actually good animation, and they have legit villians."
"Nov 15, 2023",POSITIVE,"This has been one of my favorite movies for a year now since it came out,  it has animation and visuals that are very pleasing to the eye and an excellent story. I'm not up to date on PussBoot lore and the past movies, so I'm not sure if it's accurate to the story or not, but I think it's really good."
"Nov 13, 2023",POSITIVE,"Screw it this is a great masterpiecec and I really like this movie.

This isn't my favorite Dreamworks movie but it's a masterpiece and I care for it more."
"Nov 12, 2023",NEUTRAL,Meh I mean it's alright but I loved Jack Horner
"Nov 11, 2023",POSITIVE,"It was ... PERFECT !!!! 
So refreshing ! 

It's hard to write about this movie without spoils but really everything is perfect. The voices, the animations AND the SCRIPT ! 
For kids it's more than perfect. And for the 'grown kids' it's even better haha 
Bravio !"
"Nov 11, 2023",POSITIVE,It is just God tier!
"Nov 10, 2023",POSITIVE,"This movie is just perfect in every possible way. The music, the art style, the characters. the plot, the animation. Whenever the frame rate drops, you literally see the best parts of the movie! Also, can we just talk about the villain? Death the Wolf is literally the best Dreamworks villain of all time and It's literally no contest! Before watching this movie, I didn't pay to much attention, but now having seen it, this is the greatest movie in history! If you have never watched this movie, you need to watch this movie RIGHT NOW!"
"Nov 10, 2023",POSITIVE,"This Movie is Glorious 

The Characters and Their Arcs are Amazing, Enjoyable, and likeable. The Animation is God Tier like Spider Verse.  The Fight scenes are great, and The Music is great. And the lessons about appreciating the life you have instead of using it and throwing your past behind you is amazing.

It's my favorite animated movie of all time."
"Nov 9, 2023",POSITIVE,"I personally believe this movie is great I love all of the different styles of animation it's similar to spider verse and mutant mayhem. I love the villians and there separate personalities. I think goldilocks and the bears had a great ark and were very thought out characters. Jack Horner had me dying while watching this movie he was so funny always talking about ruling the planet. And last but not least death was one of the best villians in any movie I have ever watched. Even with deaths small aperance in the movie he built fear. The movie can portray this in the beginning; when puss defeats a giant it shows how strong he is but as soon as he meets death and death makes a threat it makes the audience think puss will win. When puss ends out not winning and even getting scraped it puts a sense of fear into the audience and puss. It in general makes deaths presence so unsettling, from his non blinking eyes to him being everywhere at once death is a great villian. Puss is puss and kitty is kitty I forgot the dogs name but he was great and was hilarious."
"Nov 9, 2023",POSITIVE,"If you're a fan of adventure, humor, and daring heroes, then Puss in Boots: The Last Wish is the movie for you! This film takes everything we love about the swashbuckling feline and adds a new layer of depth and emotion to his story.

The animation is absolutely stunning, with vibrant colors and beautifully rendered landscapes that transport you right into the world of Puss in Boots. The voice acting is superb, with Antonio Banderas once again bringing his signature charm and wit to the character of Puss. And the supporting cast, including the sly and cunning Big Bad Wolf, are all perfectly cast and bring their own unique flair to the story.

But what really sets Puss in Boots: The Last Wish apart is the emotional journey that our hero goes on. We see him struggle with the consequences of his adventurous lifestyle and confront his own mortality in a way that is both heartwarming and thought-provoking. And yet, even in the face of his own mortality, Puss never loses his sense of humor or his indomitable spirit.

Puss in Boots: The Last Wish is a five-star adventure that will leave you on the edge of your seat in tears but with a smile on your face. Whether you're a long-time fan of the series or just looking for a fun and exciting family movie, this one is not to be missed!"
"Nov 8, 2023",POSITIVE,"By far the best family movie I watched in years. My family and I enjoyed every minute and, in the end, felt a full sensation of goodness and satisfaction. I couldn't recommend it more."
"Nov 7, 2023",POSITIVE,"I can't complain, this is a masterpiece. I am blown away. 10 outta 10 movie!"
"Nov 6, 2023",POSITIVE,"This film is an exciting thrill ride of a film that your whole family will enjoy. This film is a fun adventure across the Shrek universe that has lots of references to the Original Shrek films. The story is action packed and fast paced with lots of fun and interesting references to old fairy tales like Pinocchio, little Jack Horner and goldilocks and the three bears. This will make teenagers reflect on their childhoods and feel nostalgic. Also, the adventure that our main characters take it will keep you on the edge of your seat as they go on a long journey to get to the dark forest and then traverse that forest which is a new and colourful location. this movie has some outstanding characters such puss in boots. He is a fun, funny and a complex character who at first doesn't take care of his lives, until he learns at the end of the film why you should spend your life in the best way you can. alongside puss we have kitty soft paws who wants the wish to find someone who she can trust. Perito is a fun sidekick that helps kitty and puss get their wishes without magic. Goldilocks learns an important lesson about family. She tells her bear family that she wants a real family instead of living in a family of bears. But she learns that she should love the family she has. with the art style in this film are taking a lot of inspiration from one of my favourite movies of all time called Spiderman into the Spidey verse. This film has an art style similar to comic book and the main character of the film miles loves comics so it also kind of fits with the movie. Back to Puss in boots, the visual look is done with a paint brush which makes this movie look aesthetically pleasing to its audience. Now on to the music, every single song fits the theme of the scene that you are watching. It goes from the banger opening with the song fearless hero, to the wolfs whistling theme which is ominous and adds a level of fear to this mysterious wolf. This is why the art and music of this film makes it stand out significantly to the over films DreamWorks has released over the years. Overall this film is worth a watch 9/10"
"Nov 5, 2023",POSITIVE,The movie was very nice and quality and had a smooth and cartoony animation style. The villains were good and a nice refresher from the new rule that villans have to have a sad back story and a possibly redeeming factor about them. Had a nice story and a very cool ending.
"Nov 3, 2023",POSITIVE,"Puss in Boots: The Last Wish is far better than it had the right to be. This is the sixth movie in the Shrek franchise. It's a sequel to a spin-off. And yet I found myself laughing more than I have since Shrek 2. The animation is vibrant & colorful, and the action sequences are highly energetic. It's obvious that the animators took good notes while watching Spider-Man: Into the Spider-Verse. Antonio Banderas and Salma Hayek Pinault do a good job, as per usual, but newcomers Harvey Guillén, Florence Pugh, and John Mulaney gave memorable performances, as well. It seems that Puss really is a legend."
