Date,Score,Reviews
"Feb 24, 2024",NEGATIVE,"I honestly hoped this would be a decent film, but I forget ha;f the characters names, can't even remember the one villain's name is. The story was forgettable, the character development was lacking, the pacing was off, and Kumail Nanjiani is just not a good actor."
"Feb 21, 2024",NEUTRAL,"Filme mediano! Da para assistir e entreter-se.
Foram muitos personagens novos para introduzir em um único filme, e pra piorar é um grupo menos famoso da Marvel. Fora isso, o filme consegue entregar cenas interessantes."
"Feb 19, 2024",NEGATIVE,"ODEIO ESTE FILME IDENTITÁRIO, ESTRAGOU OS NOVOS HERÓIS COM ESTAS MUDANÇAS E INCOERÊNCIA. DECEPÇÃO MARVEL/ DISNEY 😤😡😠🤬😈👿"
"Feb 19, 2024",NEGATIVE,Just no.. I miss the real Marvel quality..
"Feb 18, 2024",NEGATIVE,They are not a superheros they are politicians.
"Feb 18, 2024",POSITIVE,"Eternals is a complex events of group of synthetic super heroes. Chloe Zhao did not disappoint! from the direction to visual/ vfx it was chef's kiss! ❤️ 
I appreciate the mythology and marvel approach of this film, I just live every second of it! Cant wait for the sequel of Eternals! ✨✨✨"
"Feb 17, 2024",NEUTRAL,"Fun with engaging world building. A drama more than an action flick. The acting can be a little stiff at times and some characters aren't equally balanced and it could use a little more action, but not much. Very solid but missing a pinch of charm."
"Feb 17, 2024",POSITIVE,probably the best directed Marvel movie since infinity war and I liked it way more than I thought I would!!!
"Feb 17, 2024",POSITIVE,"Not sure why it got ripped apart by tbe critics. This is a very good movie, great acting and a fun plot. I love all parts of it and i cant wait for a part 2."
"Feb 16, 2024",POSITIVE,"The most human, beautiful, endearing masterpiece ever to grace the comic book world."
"Feb 16, 2024",NEGATIVE,These movies are getting worse and worse... can't believe I keep going to anything with the Marvel brand.
"Feb 15, 2024",NEUTRAL,Despite sone if the other ratings I thought this was a well done movie they are really reaching for some of the marvel stories but this one was pretty and thoughtout and led you think there is more to come. Angelina crushed it and it was cool to see some of the ties to other marvel movies! pretty well done.
"Feb 14, 2024",NEGATIVE,Complete garbage. I don't understand how anyone would like it. It's boring.
"Feb 14, 2024",NEGATIVE,Was not a big fan of this movie
"Feb 12, 2024",POSITIVE,"so disappointed this wasn't more successful. I loved it. It was ""evolved"" as a super hero movie. I stopped and rewatched the philosophical debates. I wish a philosophy professor would use it to do an anatomy of the different view points different categories when they ""followed their heart"". and I Laughed out loud so many times. I hope there will be more, and its too bad all those fan boys out there can't see it for what it is."
"Feb 11, 2024",NEGATIVE,Finally watched it because it came on tv. I'm glad I didn't pay to watch this in the theaters. Gave an extra star because they spent a lot of money making this 💩
"Feb 9, 2024",NEGATIVE,"My God, they never read any of Jack Kirby's 1976 masterpiece. They couldn't even get Ikaris's name right. It's not ""Icarus"" it's ""Ike Harris.""
   This story got so lost in translation. The actual story was 3 races of earth's evolution,  not androids in space. There was an ancient war. The Celestials tried teaching all 3 races is if we don't learn to put the past behind us,we will be destroyed.
   They try to agree to disagree and find commonality to show we're up to trying.
   That's pretty much it.
   This piece of 💩 story is so lost in translation Ikaris is not the hero of the story, he's a traitor (and it makes no sense). The Deviants are android jerks and learn nothing. Celestials are the bullies of the story and they stand against their creators.
   In the books, you fight a Celestial, they win you lose, and they can easily kill most Marvel characters.
   What the hell were they thinking?"
"Feb 9, 2024",POSITIVE,"I loved the movie, it was epic!"
"Feb 8, 2024",NEGATIVE,Next time you wanna waste my time atleast pay for my ticket
"Feb 7, 2024",NEGATIVE,Wow...just wow.   Who thought this was a good idea?
"Feb 7, 2024",POSITIVE,"I watched this movie just recently 2/7/24. I came in with no expectations, since half the reviews were not good. Well I have to say I liked this movie. It told a good story, the acting was good, and it left me anxious for the next movie in this franchise. I really can't understand some of the visceral hate for this movie. It's definitely not another run of the mill marvel movie, and for that I am thrilled . Go on with no expectations, and an open mind then watch and enjoy this movie."
"Feb 7, 2024",NEGATIVE,"You can see what they were going for but ultimately it's just too long, has too many new characters dumped on you all at once and just doesn't really work especially in comparison to say, Logan which is an artist superhero film that really sticks the landing."
"Feb 4, 2024",NEGATIVE,A giant hand emerge from the depth of the earth and the avengers... Wait! Where were they!?
"Feb 1, 2024",POSITIVE,Movies was great can't wait for part two !!!
"Jan 27, 2024",NEGATIVE,"Terrible movie, marvels weak attempt at recapturing audiences"
"Jan 27, 2024",NEGATIVE,"Story of lots of great action, terrible story, typical Disney flick recycling old themes with a new skin."
"Jan 24, 2024",NEGATIVE,worse marvel movie ever. The action scene at the end was fine tho and was the only thing that makes me give it a half star rather than zero. Actually it's not possible to give it zero stars but if it was then I would've done it.
"Jan 24, 2024",NEGATIVE,"With the Infinity Saga coming to a close, Marvel is attempting to change their formula to try new things with their films. Eternals however, is not the correct formula. A plot that is filled with holes and lacks anything interesting mixed with characters that change sides and motivations constantly equals rotten. By the end, I just wanted the weightless story to come to a close. Much like Ikaris, if I was in the movie, I would fly to my certain death."
"Jan 24, 2024",POSITIVE,"This film is the most majestic and truly marvelous film we've gotten from the MCU to date. It tells a great story of these ten eternal beings throughout Earth's history with very deep pathos, philosophy, and symbolism. Not to mention, the best visuals in the MCU to date with great action scenes. You definitely get a sense of who each of the ten characters is to their core by the end of the film, and the various ways they have evolved throughout their time on earth."
"Jan 22, 2024",NEGATIVE,"It is almost impossible for the mind to comprehend that the Oscar-winning director of NOMADLAND, one of my favorite films of the last several years, is also responsible for this mess. Quite frankly, it is close to a complete disaster. Overlong, uninvolving with lazy performances and repetitive special effects. Those more familiar with the Marvel universe may understand more about what's going on, but I was totally lost with characters that come and go out of nowhere and a non linear storyline that literally goes back and forth between multiple centuries. Worst of all, the whole enterprise lacks even the smallest amount of joy or enthusiasm. This is the first Marvel movie I've seen (and I've probably seen about half of them) that felt dead on arrival."
"Jan 20, 2024",NEGATIVE,"Eternals is a rare misfire by marvel. Definitely some good character moments and action sequences. But on the whole, it's a cluttered film with too many characters and plot points. Some of them don't even end anywhere and some aren't even established. This results in an exhausting watch."
"Jan 18, 2024",POSITIVE,"Loved Eternals, great world building & characters. Not sure if Marvel is going to go any further with it though."
"Jan 17, 2024",NEGATIVE,"This gets one star as opposed to a half due to one or two competently-done fight scenes, but my word this film is a letdown. I was so hopeful, and all I got was disappointment and boredom."
"Jan 15, 2024",POSITIVE,"I didn't know what to expect going in, but I was pleasantly surprised by the end.  The visuals and animations are amazing, and the fight scenes are well choreographed.  It's different but definitely worth a watch."
"Jan 14, 2024",NEGATIVE,The amount of plotholes this movie creates is just incredible.
"Jan 11, 2024",NEGATIVE,"Real fans of the MCU will love this and I have already self-identified as an old man who liked comic books best when it was Superman, Lex Luthor and damsel-in-distress Lois Lane.
Beyond that I'm like Angelina Jolie in a superhero movie. Wait. What?"
"Jan 10, 2024",NEGATIVE,"Hey, wasn't this the movie that everyone thought would reshape cinatography forever, before it's release? I feel it didn't live up to that."
"Jan 7, 2024",NEGATIVE,"I strongly feel that the people involved in the making of this movie have no idea what the point of movies is.  People see movies to be entertained, sometimes even to be educated or enlightened.  This movie did none of these and these people should go directly to movie jail, where they can make no more big budget movies until they can prove their worth making low budget fair."
"Jan 6, 2024",NEGATIVE,So bad. Everything about this film is junk. The only redeeming quality is the amount of good looking people they cast...
"Jan 6, 2024",NEGATIVE,"Boring, aimless, waste of time. How does Disney manage to squander that much acting talent in one film?"
"Jan 4, 2024",NEGATIVE,"I lost my time watching this movie. Commercials were excellent, but whole movie..."
"Jan 4, 2024",POSITIVE,Very Underrated very different Marvel Studios movie! Loved it. Must watch.
"Dec 28, 2023",POSITIVE,This was a pretty good movie.  Pretty disappointed that i lottery myself get convinced it wasn't.  Better than Dr. Strange 2 and Thor 3.  Rotten tomatoes should reduce the weight of critics who's results are reguarly inconsistent with audience scores.
"Dec 26, 2023",NEUTRAL,The critics were wrong on this one. It's nowhere near the best MCU film but I love the slow burn and dialogue heavy nature of this movie. The visuals are great as well and they managed to do evil Superman better in this than in the DCEU so it gets a few brownie points.
"Dec 21, 2023",NEGATIVE,Very boring movie. What happend to the action?
"Dec 20, 2023",NEUTRAL,"tinha tudo pra ser bom mas por falta de tempo acabou sendo extremamente medíocre, a história é interessante mas os personagens não tem desenvolvimento, e eu nem julgo, não dá da desenvolver e aprofundar 7 personagens em 2 horas de filme, mas apesar de tudo é um filme interessante de assistir e muito subestimado"
"Dec 20, 2023",NEGATIVE,"The plot is incredibly hard to follow and even when I can tell what's happening I can't SEE what's happening because it's so dark all the time. The cast is too big, I can't remember most of their names, and other than one character none of the powers really stand out as original. I did enjoy certain aspects of the film but it wasn't enough to make up for the rest of the film. Overall if you're considering renting or buying thus movie it is not worth it."
"Dec 16, 2023",NEGATIVE,"I was surprised that it wasn't as huge of a mess like I heard. It does have too many characters with not enough to do. 
I liked Sersi as a character, but not having enough time to really be her own character, she falls a bit flat. Sprite is such a thought provoking character and I wished she had more time to explore her personal difficulties and explore her attempting adult life but failing and being extremely torn apart about it. I liked Angelina Jolie's character essentially battling mental illness, but like everything it's just half baked. It's sad, I can see a good movie here but this just isn't one. 
It would have been better to make the story based around 3-4 characters, Sersi, Icarus, Sprite and Kinkango or Athena. I think it was a huge misstep to have some of the characters seemingly have huge ideological differences and it not be a problem until the finale.
If I were to redo this, make the whole movie a who dun it. Have the introduction be a funeral, and then spread out and have more eternals die quickly, and then the final few stick together. That way we get more time with the characters we have. Of course, the plot would only change very slightly this way since the auxiliary Eternals aren't really used and feel like they are there because they're in the comics. Boo, don't be so married to it. If you want them, then bring them back to life with the success of the final confrontation, what we have is just bad, but really it wasn't awful."
"Dec 14, 2023",NEUTRAL,"For better or worse Eternals is an ambitious project that tried to move away from the Marvel standard of fast paced storytelling and characters making non-stop quips. The premise is an intense high-fantasy, a large cast of immortals acting like a dysfunctional family, with their issues and the way they cope with them scaled up as much as their godhood in often Shakespearean fashion.

First, Eternals tries to do a lot. It attempts to fit 10 compelling characters many with their own stories, intelligent relationships and personal dramas into a hyper grand premise, a multilayered mystery plot riddled with provoking moral dilemmas, convince us of a world where the natural order is mass genocide from sentient cosmic forces, hell even the throwaway antagonist has meaningful motive; all into a film with a very reasonable runtime.

It quickly became apparent how easy it was to nitpick at flaws in this massive project so I'll address the most notable ones. It fails to reinforce its most consistent and encompassing theme, what it means to be human. How the film wrapped up certain character narratives unsatisfyingly (Sprite & Kingo), characters making choices that may alienate viewers (Like every Eternal at some point) and the Deviant subplot feeling too separate from the main story by the final act.

However, a lot worked for me too. Starting with the cinematography, the movie was very beautifully shot. Unlike most Marvel productions that are all ADHD & go-go-go scenes actually take their time to bask and settle. Also the film has the viewers often feel the moral struggles of its characters and I love that. I find personal stories from the existential perspective of immortals very compelling and there's a lot of material there in that regard. (I mean, there's 10 of them!) Finally this should go without saying but the action choreography is top notch as always.

Eternals is a success, it may have chewed off more than it can handle but it's one of Marvel's most provoking and complex projects in every sense. It's bloated and borderline convoluted but it was still enjoyable and is exactly the type of ambitious thing I want to see from them instead of churning out the same brainless style/tone over and over."
"Dec 12, 2023",NEUTRAL,"Truly underrated, better than Iron Man 2 (worst MCU movie)."
"Dec 10, 2023",NEGATIVE,"A terrible, pointless film with a terrible, pointless plot and terrible, pointless characters."
"Dec 8, 2023",POSITIVE,"Heh, this is my fauvorite Marvel movie, I have no idea how, it is what it is, and honestly I dont feel the movie slow."
"Dec 5, 2023",NEGATIVE,Thousands of comic characters to choose from…and we get this hot mess. 🤮. Plus I'll never watch a movie with parental alienation Queen Angelina Jolie.
"Nov 29, 2023",NEGATIVE,"Wow
  Eternals said it's different from any other MCU film but wasn't this is one of the worst MCU films very stupid too."
"Nov 28, 2023",POSITIVE,"To my surprise, considering the negative reviews and the general concensus of the film being 'bad', I went in with low expectations.

I was surprised to find that the film was thoroughly enjoyable, hitting all of the requirements of a modern superhero film. Great action scenes, appropriate levels of humour, adequately good acting and a decent enough plot! Sure, the film isn't full of twists, turns or huge surprises, but there is enough going on to keep me entertained."
"Nov 27, 2023",POSITIVE,"This movie is very fun despite it has its flaws. Its different than any MCU movies, i can't wait for the sequel"
"Nov 19, 2023",NEGATIVE,"I have tried to watch this many times, pulled in by the MCU and cast. The movie simply could not grab my attention or create any real excitement, despite big cgi effects, powerful characters and a vast universe of backstory to work with. Unfortunately the first of many MCU dumpster fires."
"Nov 18, 2023",NEUTRAL,Los villanos son decentes la acción es buena los efectos son buenos los personajes regulares es buena pero no tan buena es un 7.6 de 10
"Nov 18, 2023",POSITIVE,"I honestly don't get the negativity towards this movie. I found this movie intelligent and moving. I don't get how this movie gets 47% on Tomatometer, but Blue Beetle gets 78%. I don't understand. Maybe its just me."
"Nov 16, 2023",POSITIVE,"Eternal is a good movie, in my opinion. Characters are interesting, they have chemistry together, a fantastic scene, and the actor and actress provide a wonderful performance. I think that in time, everyone will see its worth."
"Nov 14, 2023",NEGATIVE,"Not great, not terrible, pretty forgetable, but has some intriguing moments and otherwise a solid basis. Certainly not the best of the Marvels and not really a good  contribution to the overall MCU - it opens way too many questions and issues. The final boss is pretty laughable, but alas, it passes the time and is somewhat consistent in its quality. There are a few annoying characters and plot points, but it's easy to disconnect this from the rest of the MCU, especially if you've already given up on getting a good overarching plot line again. So watch it just as a standalone movie and pretend it has no further connection to anything else I guess."
"Nov 13, 2023",NEUTRAL,"A film that is said to be neither good nor bad, Eternal itself has its own characteristics in writing characters and stories. The depiction of the world before the Avengers is presented in a unique way."
"Nov 13, 2023",POSITIVE,"Underrated Masterpiece. Don't watch it as an MCU movie, but as a Movie."
"Nov 13, 2023",NEUTRAL,"Wasn't as bad as I've heard people say it is, but I feel it would have been much more successful as a TV show. It would have given it alot more time to develop the large main casts characters."
"Nov 13, 2023",NEUTRAL,A lot in store here. It wasn’t the best Marvel movie I’ve seen but totally worth the watch and the characters were likable. Visuals were on par with Marvel and impressive! Stay tuned after the initial refits for a little nugget. 
"Nov 11, 2023",POSITIVE,Absolutely stunning visually and such a change of pace for Marvel which was much needed and it was fantastic.
"Nov 11, 2023",NEGATIVE,The star-studded cast could not save this slow sinking ship. The long running time and uninteresting characters made this the least pathos-driven movie in the studios' repertoire.
"Nov 11, 2023",POSITIVE,"Most underrated movie from Marvel
Acting 7.5/10
Dialogue 7/10
Action 7/10
Story 8/10
Music 6/10"
"Nov 11, 2023",NEUTRAL,"Too many unknown characters, too many unanswered questions, too soon.

After Covid MARVEL seemingly decided to put things on screen out of order and out of context. This film doesn't make sense where they released it - same with the Black Widow movie. The film is great, but it feels like the middle section of a three film arc, but you haven't seen the other two bits yet.... 

For me the celestials were insanely impressive, the capturing of SCALE was awesome by the director, and the stand out character ARC for me was Dane Whitman. Bumbling professor who is in a world he doesnt understand, and his involvement keeps increasing to the point of unravelling his heritage.... this should have been the story, with the eternals as the aside.  

The film is definitely worth a watch, but the sub-par cgi in the post credit scenes is jarring, and the point of the film is yet to be seen / mentioned in the mcu at all. As i say, wayyyy too early."
"Nov 11, 2023",NEGATIVE,"I had to come on here and write a review because this is the only movie that I've seen in a theatre where the audience and myself busted out laughing AT the movie (not with it). Bad dialogue, bad acting, bad visuals. I think we were being punked."
"Nov 11, 2023",NEUTRAL,"I liked it but I think there were too many new characters so not enough time to explore them. Also they focused on the least interesting, I would have loved more Phastos, Makkari, Thena and Gilgamesh and less Sersi and Ikaris"
"Nov 9, 2023",POSITIVE,"It's not an avenger movie, but the visuals are awesome and the plot as well"
"Nov 9, 2023",POSITIVE,This is objectively bad. But I somehow subjectively like it. The music is good too. Better than Endgame for me.
"Nov 9, 2023",NEGATIVE,Zhao's creative instincts are underutilized in a predictable MCU film
"Nov 9, 2023",POSITIVE,I thought Eternals was pretty good. It was cool over all in my opinion.
"Nov 8, 2023",POSITIVE,"The movie was a bit long for me but I get it that they want to show us all of the characters. It has a very good fight sequences and the vfx was good. This is also the first film that I've seen a speedster in a real speed, not in slow motion! (Shout out flash). All in all, it is a fresh-air to see it in the MCU

47% was not the right rating to give in this movie."
"Nov 8, 2023",POSITIVE,"The characters in this movie are done so well, i connected with most of them and the visuals are stunning. the most cinematic MCU movie dare i say it"
"Nov 5, 2023",NEUTRAL,"For 11/2021: Marvel Studios presents their next big team of superheroes Directed by Chloe Zao she assembles a very rich, diversified cast in this long roster After Thanos wiped out half the universe and Tony Stark bringing everyone back due to his sacrifice it provided the necessary energy to create an event called the Emergence; basically this would wipe the slate clean on planet Earth for other worlds to exist 7,000 years ago beings called Eternals gifted with immortality and amazing powers arrived from the planet Olympia or did they?; they were instructed to not interfere with human history or conflicts by Celestials unless creatures called Deviants were involved The Eternals comprise of 5 fighters and 5 thinkers; Ikaris who can fly, shoot beams from his eyes, and have superhuman strength, Makkari who has super speed and is deaf, Thena the goddess of war who can create all kinds of weapons, Sersi who can manipulate matter, Druig who can control people's minds, Kingo who's a Bollywood star but more joking than anyone that can fire projectiles from his hands, Phastos who can control any type of technology, Ajak who can heal people, Gilgamesh who can deliver super powered punches, and Sprite who can create illusions Even though they've shaped our cultures and civilizations since the dawn of time it's a heavy burden for them all they couldn't lift a finger to help humanity, heck they even explain why they didn't help the Avengers Now with the Emergence on the rise these immortal warriors have to band together to protect what they now hold dear even going against their prime directive Kros, is one their many obstacles being in charge of the Deviants making them believe they can't protect humans next to Jemiah the Analyzer who created the Eternals and Arishem, their master It’s the 3rd longest MCU entry next to 'Avengers: Infinity War and Endgame' but still good for fans that have been keeping with this franchise since 2008; brings all the enjoyment you’d expect albeit minor flaws included It takes some getting used to the exposition But the action is impressive, love the big world building, this rich diverse cast, the costumes, and it opens more of the Marvel Cinematic Universe in multiple directions Love this musical score too Ajax is the almighty leader yet she can’t let anyone interfere with human history lest them hindering their natural evolution, Kingo is the funny comic relief with his Bollywood personality, Sprite is the free youthful spirit being that she’s stunted in her growth being an immortal teenager, Sersi is the heart of the group feeling she used to have a romance with Ikkaris, Thena is the fierce warrior sticking to her duties yet she’s feeling weak with her memories since she’s been around for eons, Druig wishes everyone should have a common ground, Gilgamesh is the calming one for Thena, and Phastos feels ashamed of his tinkering considering how humans have used machines to kill each other so he’s found human connection living a domestic life This entry is more dramatic than bombastic or cartoony which might not sit well with many; villains are kinda lame to be honest with Kro only being in here for 5 min and Arishem who’s kinda sitting in the background It stinks 2 characters in here are axed off quick being part of this main family A lot of the environments feel empty and boring since it’s a lot of deserts, oceans, grass fields, beaches and volcanoes Still, it does show how others involved with humanity's development would've shifted things allowing us to evolve, thrive, learn from our mistakes Human nature is what it is; sometimes it's unavoidable or not our place to change what has to unfold Without our flaws and mistakes we couldn’t stand out or learn to be better Chloe Zhao knows her characters and their interpersonal relationships, she has them dig deep into themselves about whether they should do more than what they were made for or not bother getting attached to a planet inhabited It’s definitely a heavy toll being immortal and having to watch over civilizations far slower than others as far as weapons and modern technology One of those rare superhero films to make the viewer think The casting here is also a true profession of representation in film The mid credits scene is crazy and the after credits scene....very ambiguous It’s a lot of mystery for the future to unfold that’s for sure 25 movies in and Marvel Studios is still showing their love and passion for an ever-expanding multitude of stories from the pages of the comics This one isn’t perfect and will be very divisive but you can tell they are trying to open more doors for further adventures and that’s fine by me as a comic book movie lover"
"Nov 2, 2023",NEGATIVE,"No me gusto la peli, esas fueron 2 horas y 7 minutos de mi vida que no voy a recuperar, malísima, no recomiendo esta pelicula"
"Nov 2, 2023",POSITIVE,More interesting than other Marvel movies. It felt more character driven and less explosion driven. I was bored of the usual marvel format in the 2010s. This was refreshing.
"Nov 2, 2023",NEUTRAL,"The opening scene annoyed me the most. It started with an interesting premise and then the way it was acted out was as if it was done by a child. Like what a little boy would think was super cool.

You'd think that moviemakers have had plenty of practice, and should be getting better. Overall, it was quite mediocre."
"Oct 30, 2023",NEGATIVE,Boring... Boring... BORING!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
"Oct 30, 2023",NEGATIVE,too hyped up which made the movie dissapointing
"Oct 28, 2023",POSITIVE,One of the most underrated MCU movies imo
"Oct 27, 2023",NEGATIVE,The biggest piece of dawgshit
